"","nombre","peso","capacidad","potencia","opiniones","precio","alto","ancho","profundidad"
"1","
                
                    
                    
                

                
                    
                    
                        ECOVACS Robotics DEEBOT 605 - Robot Aspirador con Limpieza Sistemática y Control Mediante APP, Blanco
                    
                

                
                    
                    
                
            ",3.4,2.34011627906977,571.671101694915,27,219.98,33.2,33.2,7.9
"2","
                
                    
                    
                

                
                    
                    
                        Taurus Ultimate Lithium - Aspirador escoba (filtración HEPA, 22.2 V, deposito con 650 ml, filtraje Cyclone System)
                    
                

                
                    
                    
                
            ",2,0.65,571.671101694915,519,99,21.5,22.5,107
"3","
                
                    
                    
                

                
                    
                    
                        Rowenta Compact Power Cyclonic RO3753EA - Aspirador sin bolsa, sistema ciclónico sin bolsa, depósito 1.5 L, cepillo parquet y boquilla 2 en 1 para ranuras, 79 dB(A), fácil de limpiar
                    
                

                
                    
                    
                
            ",6.8,1.5,750,1582,78.99,27.5,40.9,29
"4","
                
                    
                    
                

                
                    
                    
                        Kärcher Aspiradores multiuso WD 3 (1.629-800.0)
                    
                

                
                    
                    
                
            ",5.8,2.34011627906977,1000,888,65.72,34,38.8,50.3
"5","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga Duostick Easy - Aspirador ciclónico vertical 2 en 1 (escoba y de mano sin bolsas, 800 W, Filtro HEPA) color negro y verde
                    
                

                
                    
                    
                
            ",1.28,2.34011627906977,800,2103,26.99,25,65,14
"6","
                
                    
                    
                

                
                    
                    
                        Cecotec Wet&Dry Aspirador de sólidos y líquidos de 1400 W, HEPA y Filtro de Agua, regulador de Potencia, función sopladora, Capacidad 15 l, Multicolor
                    
                

                
                    
                    
                
            ",6.96,15,1400,511,84.0767045454545,40,40,52
"7","
                
                    
                    
                

                
                    
                    
                        Aspiradora de Mano Sin Cable, HIKEREN Aspirador Mano Potente, 6000PA, Aspiradora Sin Cable con Filtro de Acero Inoxidable, Luz LED, Batería de 2600mAh, Tecnología Ciclónica, 3 Boquillas
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,100,142,49.96,35,10,12
"8","
                
                    
                    
                

                
                    
                    
                        Rowenta City Space Cyclonic RO2727EA - Aspirador sin Bolsa, Cabezal de Alta Eficiencia, Accesorio Boquilla para Ranuras 2 en 1 más Versátil, Cepillo Tapicerías y Boquilla Ranuras Flexible XXL, 78 dB
                    
                

                
                    
                    
                
            ",4.95,1.2,750,164,59.99,47,28.5,30
"9","
                
                    
                    
                

                
                    
                    
                        Aspiradoras Vertical, HIKEREN Aspiradora Escoba Hogar, 12000pa, Aspirador Mano Sin Cable, con Estación de Carga y 4 X Luces LED, 2 Velocidades, Batería de 2500mAh, Lavable Filtro HEPA, 2 Cepillos
                    
                

                
                    
                    
                
            ",3.15,2.34011627906977,571.671101694915,195,89.96,120,24,12
"10","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga Serie 1090 - Robot Aspirador 4 en 1, navegación Inteligente iTech Space, especial mascotas, 5 modos de limpieza
                    
                

                
                    
                    
                
            ",4.6,2.34011627906977,571.671101694915,616,179,49.4565217391304,27.9782608695652,33.7382608695652
"11","
                
                    
                    
                

                
                    
                    
                        Kranich Aspiradora portatil para casa Mano y Vertical aspiradoras Manual sin Bolsa 2 en 1 Limpiador Potente 700W (5m)
                    
                

                
                    
                    
                
            ",1.5,1,700,37,39.99,43,29,17
"12","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP680 Aspirador Escoba Vertical 2 en 1, Sin Bolsa, Sin Cables, dos Velocidades , Compacto y Ligero, 100 W
                    
                

                
                    
                    
                
            ",1.11,0.8,100,5,99.99,112,23,21
"13","
                
                    
                    
                

                
                    
                    
                        Philips PowerPro Compact FC9331/09 - Aspirador con sistema Ciclonico sin Bolsa, Deposito 1.5 L, Filtro Antialergias, Facil de Limpiar
                    
                

                
                    
                    
                
            ",6.1,1.5,650,77,89.9,28.1,41,24.7
"14","
                
                    
                    
                

                
                    
                    
                        Einhell Aspirador en seco y húmedo TC-VC 1812 S
                    
                

                
                    
                    
                
            ",3.2,2.34011627906977,1250,325,39.95,34,34,37
"15","
                
                    
                    
                

                
                    
                    
                        Polti Forzaspira C110_Plus Aspirador cicónico sin Bolsa, 2 litros Capacidad depósito de Recogida, 800 W, 80 Decibelios, Rojo
                    
                

                
                    
                    
                
            ",5.2,2,800,244,65,28,32,38
"16","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga Serie 990 Excellence - Robot aspirador que friega, con 4 cepillos laterales, 220-240/50 Hz, Negro
                    
                

                
                    
                    
                
            ",4.7,2.34011627906977,571.671101694915,1146,169,49.4565217391304,27.9782608695652,33.7382608695652
"17","
                
                    
                    
                

                
                    
                    
                        Taurus Ultimate Lithium - Aspirador escoba (filtración HEPA, 22.2 V, deposito con 650 ml, filtraje Cyclone System)
                    
                

                
                    
                    
                
            ",2,0.65,571.671101694915,519,99,21.5,22.5,107
"18","
                
                    
                    
                

                
                    
                    
                        Einhell TH-VC 1820 S  -Aspirador seco - húmedo, inox, 180 mbar, 1250 W, 230 V, 80 dB (ref. 2342167)
                    
                

                
                    
                    
                
            ",4.7,2.34011627906977,1250,35,44.9,32.5,32,46
"19","
                
                    
                    
                

                
                    
                    
                        SAMBA ¡Aspirador 2en1! Vertical y de Mano Sin Cable Aspira Pro 21,6V, 8500Pa, Silencioso 68dB, Autonomía hasta 40min, Filtro HEPA, Capacidad 0’8L, Cepillo Motorizado, Luz LED, Estación Carga, 2200mAh
                    
                

                
                    
                    
                
            ",2.57967567567568,0.8,571.671101694915,11,59.9,49.4565217391304,27.9782608695652,33.7382608695652
"20","
                
                    
                    
                

                
                    
                    
                        Aspiradora de Mano, HIKEREN Aspirador Mano Sin Cable, 5000PA, Aspiradoras Hogar Ligera y Potente, con Filtro de Acero Inoxidable, Batería de 2400mAh, 3 Boquillas para Pelos, Liquido, Cocina y Coche
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,100,359,39.96,49.4565217391304,27.9782608695652,33.7382608695652
"21","
                
                    
                    
                

                
                    
                    
                        Cecotec EcoExtreme 3000. Aspirador Trineo Sin Bolsa Multi Ciclónico. Capacidad de 3’5L. Filtro HEPA
                    
                

                
                    
                    
                
            ",4.5,3.5,700,266,65.99,41,27,31
"22","
                
                    
                    
                

                
                    
                    
                        Klarstein IVC-30 • Aspirador Industrial • Seco y húmedo • Doble Motor • 1800W • 19,2 kPa • 30L • 80dB • Sin Bolsa • Filtro HEPA • Protección IPX4 • Largo Alcance • Accesorios • Amarillo/metálico
                    
                

                
                    
                    
                
            ",8.93,2.34011627906977,571.671101694915,2,99.99,49.4565217391304,27.9782608695652,33.7382608695652
"23","
                
                    
                    
                

                
                    
                    
                        MLITER Aspirador Escoba con Cable 2 en 1, Aspiradora Gran Succión 14KPa, Aspirador de Mano 12 Accesorios, Aspiradora Hogar Ligera Pelo Mascota, Depósito 800ml, Azul y Blanco
                    
                

                
                    
                    
                
            ",2.37,2.34011627906977,400,21,42.99,23.8,20.2,104.8
"24","
                
                    
                    
                

                
                    
                    
                        Aigostar Dino 30ICP - Aspirador ciclónico sin bolsa, 700 W de potencia, 2 tipos de cepillos incluídos, filtro HEPA, silencioso 76dB. Recogida automática de cable. Color rojo. [Clase A].
                    
                

                
                    
                    
                
            ",5.1,1.8,700,73,52.99,49,28.5,27.5
"25","
                
                    
                    
                

                
                    
                    
                        Cecotec Aspirador Escoba ciclónico 3 en 1 DE Máxima Potencia sin Cables y sin Bolsas. Aspirador de Mano. Batería de Ion-Litio 29,6 V. Brazo articulado. Modo Turbo y Eco. Conga ErgoExtreme 29,6 V
                    
                

                
                    
                    
                
            ",2.7,2.34011627906977,29.6,393,70.17,26,15,115
"26","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga ThunderBrush 520 Aspirador Vertical Y de Mano, Tecnología Ciclónica, Filtro Hepa, Rojo
                    
                

                
                    
                    
                
            ",2.72,2.34011627906977,600,102,33.04,49.4565217391304,27.9782608695652,33.7382608695652
"27","
                
                    
                    
                

                
                    
                    
                        Novohogar Aspirador Hogar Vertical 2 en 1. Aspirador Escoba y de Mano Sin Bolsa Samba Duo Stick Purity. Sistema Doble 1 Filtro; HEPA y 1 Microperforado Lavable. Potente y Silencioso. 800W, 80dB
                    
                

                
                    
                    
                
            ",1.7,0.5,800,98,24.95,49.4565217391304,27.9782608695652,33.7382608695652
"28","
                
                    
                    
                

                
                    
                    
                        Hoover Sprint Evo SE51 - Aspirador sin bolsa con filtro EPA, con accesorio especial para parquet, tecnología ciclónica, 700 W, color rojo
                    
                

                
                    
                    
                
            ",4.1,1.5,700,294,49,26.5,27.5,38.5
"29","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP680 Aspirador Escoba Vertical 2 en 1, Sin Bolsa, Sin Cables, dos Velocidades , Compacto y Ligero, 100 W
                    
                

                
                    
                    
                
            ",1.11,0.8,100,5,99.99,112,23,21
"30","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP700 Aspirador Escoba y de Mano 2 en 1 sin Cable y sin Bolsa, 120 W, 2 Velocidades, Hasta 35 Minutos de Autonomía, Ligero, Gris
                    
                

                
                    
                    
                
            ",2.62,2.34011627906977,571.671101694915,139.879120879121,84.0767045454545,49.4565217391304,27.9782608695652,33.7382608695652
"31","
                
                    
                    
                

                
                    
                    
                        Hoover Ultra Vortex MBC500UV - Aspirador de colchones y sofas, con lampara UV para eliminación bacterias, especial alergias, color blanco y rubi
                    
                

                
                    
                    
                
            ",1.95,0.3,20,184,85,26.5,34,18.5
"32","
                
                    
                    
                

                
                    
                    
                        IKOHS NETBOT S15 - Robot Aspirador y Fregasuelos 4 en 1, mapeo navegación Inteligente y App, Barre, aspira, friega y Pasa la mopa, automático Carga, Especial Mascotas, para Suelos Duros y alfombras
                    
                

                
                    
                    
                
            ",3,2.34011627906977,25,53,159.95,33,33,7.5
"33","
                
                    
                    
                

                
                    
                    
                        Aspiradora Vertical 2 en 1, dodocool 15000pa 800W Aspirador Escoba y de Mano sin Bolsa, Filtro HEPA, Deposito con 1.5L [Clase de Eficiencia Energética A+ ]
                    
                

                
                    
                    
                
            ",1.85,1.5,800,100,44.99,60,16.2,12.5
"34","
                
                    
                    
                

                
                    
                    
                        BLACK+DECKER BEBLV300 - Soplador, aspirador y triturador de hojas 3000 W
                    
                

                
                    
                    
                
            ",7.65,2.34011627906977,3000,153,84.0767045454545,58.5,39.5,31
"35","
                
                    
                    
                

                
                    
                    
                        sumgott Aspirador sin Cable 9000Pa Aspiración 2 Velocidades Aspirador Ciclónico Escoba Eléctrica Doméstica,Ultraligera Silenciosa Inalámbrica (Rojo)
                    
                

                
                    
                    
                
            ",3.28,2.34011627906977,120,33,149.99,49.4565217391304,27.9782608695652,33.7382608695652
"36","
                
                    
                    
                

                
                    
                    
                        NILFISK Buddy II 12 Aspirador de Agua, con o sin Bolsa, 1200 W, 12 litros, 74 Decibelios, Azul
                    
                

                
                    
                    
                
            ",7.09,2.34011627906977,1200,41,54.91,47,39,36
"37","
                
                    
                    
                

                
                    
                    
                        Bagotte Robot Aspirador, Potencia de 1500Pa para un Robot de Limpieza, Ultra Delgado(6,9 cm), Silencioso, Carga Automática y Navegación Para Pelos Largos de Animales, Alfombras, Baldosas, Suelos Duros
                    
                

                
                    
                    
                
            ",4.89,2.34011627906977,28,92,197,49.4565217391304,27.9782608695652,33.7382608695652
"38","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga Serie 1290. Robot Aspirador y Fregasuelos 4 en 1; Mapeo con Navegación Inteligente, 7 Modos de Limpieza con MagneticStrip. 3 Niveles de Fregado, Programable
                    
                

                
                    
                    
                
            ",5.72,2.34011627906977,571.671101694915,451,199,49.4565217391304,27.9782608695652,33.7382608695652
"39","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP600 Aspirador escoba Vertical 2 en 1, sin bolsa, sin cables, dos velocidades , compacto y ligero, 100 W, Accesorios incluidos: soporte de pared cepillo redondo y boquilla plana, color rojo.
                    
                

                
                    
                    
                
            ",1.11,1.1,100,12,89.9,112,21,23
"40","
                
                    
                    
                

                
                    
                    
                        Kranich Aspiradora portatil para casa Mano y Vertical aspiradoras Manual sin Bolsa 2 en 1 Limpiador Potente 700W (5m)
                    
                

                
                    
                    
                
            ",1.5,1,700,37,39.99,43,29,17
"41","
                
                    
                    
                

                
                    
                    
                        Theo Klein-6815 Bosch Aspiradora, Multicolor (Klein 6815)
                    
                

                
                    
                    
                
            ",1.3,2.34011627906977,571.671101694915,8,44.64,36,22.5,20
"42","
                
                    
                    
                

                
                    
                    
                        Holife Aspiradora Escoba, Aspirador Vertical & de Mano 2 en 1 [2019 Nuevo], Potencia de 12Kpa 600W, Aspirador de Pie con 2Filtro HEPA Reutilizable, Clase de Eficiencia Energética A
                    
                

                
                    
                    
                
            ",2.19,2.34011627906977,571.671101694915,7,34.99,49.4565217391304,27.9782608695652,33.7382608695652
"43","
                
                    
                    
                

                
                    
                    
                        VicTsing HMHM174ABEU Homasy V4-Aspiradoras Hogar Escoba 2 En 1, 800Ml, 600 W, 84 Decibelios, Negro
                    
                

                
                    
                    
                
            ",2.15,2.34011627906977,600,147,35.99,49.4565217391304,27.9782608695652,33.7382608695652
"44","
                
                    
                    
                

                
                    
                    
                        Kärcher WD3P  - Aspirador de agua y polvo (1000 W)
                    
                

                
                    
                    
                
            ",5.8,2.34011627906977,1000,11,102.92,38.8,34,50.2
"45","
                
                    
                    
                

                
                    
                    
                        Aspirador Nasal Bebes Electrico Carga USB Aspirador de Nariz con 5 Niveles de Succión y Pantalla LCD para Recién Nacidos,Niños Pequeños y Infantil (Blanco)
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,21,34.99,49.4565217391304,27.9782608695652,33.7382608695652
"46","
                
                    
                    
                

                
                    
                    
                        IKOHS NETBOT S12 - Robot Aspirador 4 en 1 - Barre, aspira, Pasa la mopa y friega el Suelo, navegación Inteligente, Especial Mascotas, automático Carga, para Suelos Duros y alfombras, programable
                    
                

                
                    
                    
                
            ",2.5,2.34011627906977,28,34,119.95,32,32,7.8
"47","
                
                    
                    
                

                
                    
                    
                        Rowenta Air Force Extreme Silence RH8995WO - Aspirador sin cable, sin bolsa, 32.4 V, autonomía 75 min, batería ion litio, cabezal delta LED, cepillo motorizado, 3 velocidades, fácil almacenar
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,72,179,49.4565217391304,27.9782608695652,33.7382608695652
"48","
                
                    
                    
                

                
                    
                    
                        ECO-DE ECO-350 Aspirador Vertical de Escoba, 5 Accesorios Multi Cyclonic, 800w Filtro HEPA, Activ Carbon, Azul/Negro, S
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,119,34.9,49.4565217391304,27.9782608695652,33.7382608695652
"49","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP680 Aspirador Escoba Vertical 2 en 1, Sin Bolsa, Sin Cables, dos Velocidades , Compacto y Ligero, 100 W
                    
                

                
                    
                    
                
            ",1.11,0.8,100,5,99.99,112,23,21
"50","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP700 Aspirador Escoba y de Mano 2 en 1 sin Cable y sin Bolsa, 120 W, 2 Velocidades, Hasta 35 Minutos de Autonomía, Ligero, Gris
                    
                

                
                    
                    
                
            ",2.62,2.34011627906977,571.671101694915,139.879120879121,84.0767045454545,49.4565217391304,27.9782608695652,33.7382608695652
"51","
                
                    
                    
                

                
                    
                    
                        Housmile Aspirador sin Cable 7500Pa,Aspirador Escoba 2 en 1 con 2 Modos de Limpieza,Depósito 0.6L-Gris y Violeta
                    
                

                
                    
                    
                
            ",3.2,2.34011627906977,240,67,102.99,49.4565217391304,27.9782608695652,33.7382608695652
"52","
                
                    
                    
                

                
                    
                    
                        Aspiradora Mano, ONEDAY 6 en 1 Aspirador sin Cable sin Bolsa Seco Tecnología Ciclónica Recargable Vacío 40 min Max Técnica de Carga Rápida para Inicio / Coche / Pelo de Mascota etc. [Negro]
                    
                

                
                    
                    
                
            ",1.35,2.34011627906977,80,178,69.99,49.4565217391304,27.9782608695652,33.7382608695652
"53","
                
                    
                    
                

                
                    
                    
                        Einhell GC-EL 2500 E - Aspirador-soplador eléctrico, saco de 40 l, regulador de velocidad, 7000 - 13500 rpm, 2500 W, 230 - 240 V, color negro y rojo (ref. 3433300)
                    
                

                
                    
                    
                
            ",3.15,2.34011627906977,2500,89,34.95,44,19,33.5
"54","
                
                    
                    
                

                
                    
                    
                        Kealive Aspirador Hogar Vertical 2 en 1, Aspiradora Escoba y de Mano con Cable, 15kPa Succión, Filtros HEPA Lavable, Limpiador Vertical de Mano Para Suelos, Escaleras, Alfombras
                    
                

                
                    
                    
                
            ",1.7,0.6,700,26,44.88,110,23.6,19
"55","
                
                    
                    
                

                
                    
                    
                        Bosch BGS5SIL66B Relaxx'x ProSilence - Aspirador sin bolsa silencioso, tecnología SensorBagless, 700 W, autolimpieza de filtro SelfClean, color negro
                    
                

                
                    
                    
                
            ",6.7,3,700,347,205,31,32,47
"56","
                
                    
                    
                

                
                    
                    
                        Rowenta Smart Force Essential Aqua RR6971WH - Robot aspirador 2 en 1, aspira y friega, con sensores anticaída, bateria ión-litio de 150 minutos de autonomía, incluye mando a distancia y base de carga
                    
                

                
                    
                    
                
            ",3.6,0.25,571.671101694915,111,199,49.1,13.3,41.8
"57","
                
                    
                    
                

                
                    
                    
                        Cecotec Conga Serie 1390 - Robot aspirador con mapeo y app, navegación inteligente iTech Gyro, 7 modos de limpieza con muro magnético, 220-240/50 Hz, 58 x 38 x 11 cm
                    
                

                
                    
                    
                
            ",5.5,2.34011627906977,571.671101694915,1888,219,49.4565217391304,27.9782608695652,33.7382608695652
"58","
                
                    
                    
                

                
                    
                    
                        Aspirador De Mano Súper Succión, Carga Ligera y Rápida Aspirador De Coche con Filtro HEPA, Aspiradora De Mano Sin Cable para Hogar/Automóvil, Negro
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,14,49.99,49.4565217391304,27.9782608695652,33.7382608695652
"59","
                
                    
                    
                

                
                    
                    
                        H.KOENIG UP600 Aspirador escoba Vertical 2 en 1, sin bolsa, sin cables, dos velocidades , compacto y ligero, 100 W, Accesorios incluidos: soporte de pared cepillo redondo y boquilla plana, color rojo.
                    
                

                
                    
                    
                
            ",1.11,1.1,100,12,89.9,112,21,23
"60","
                
                    
                    
                

                
                    
                    
                        Kranich Aspiradora portatil para casa Mano y Vertical aspiradoras Manual sin Bolsa 2 en 1 Limpiador Potente 700W (5m)
                    
                

                
                    
                    
                
            ",1.5,1,700,37,39.99,43,29,17
"61","
                
                    
                    
                

                
                    
                    
                        Bagotte I7 Robot Aspirador y Fregasuelos con Tanque de Agua, Aspirar, Barrer y Fregar con Navegación Inteligente, Programable, Carga Automática, para Suelos Duros y Alfombras con Cinta Magnética
                    
                

                
                    
                    
                
            ",5,2.34011627906977,24,155,189,49.4565217391304,27.9782608695652,33.7382608695652
"62","
                
                    
                    
                

                
                    
                    
                        Limpiador de Poros 4 en 1 Limpiador Puntos Negros y Espinillas Electrónico 4 Cabezales 5 Velocidades Potente Extractor Succionador de Poros para Quita Limpia Blackhead Puntos Negros Poros Aspirador
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,112,24.99,49.4565217391304,27.9782608695652,33.7382608695652
"63","
                
                    
                    
                

                
                    
                    
                        Ersa 915670 - Bolsa aspirador sintetica 915670 5un.
                    
                

                
                    
                    
                
            ",2.57967567567568,2.34011627906977,571.671101694915,1,5.59,49.4565217391304,27.9782608695652,33.7382608695652
"64","
                
                    
                    
                

                
                    
                    
                        Aspiradora de Mano Sin Cable, Aspirador de Coche, 120W 6000Pa 2000mAh Aspirador de Mojado y Seco para Casa, Oficina
                    
                

                
                    
                    
                
            ",2.57967567567568,0.5,120,24,39.99,49.4565217391304,27.9782608695652,33.7382608695652
"65","
                
                    
                    
                

                
                    
                    
                        Rowenta Compact Power Morado RO3969EA - Aspirador trineo con bolsa de alta filtración y filtro permanente gran eficiencia, depósito de 3 L, cable de 6.2 m, accesorios de coche para más versatilidad
                    
                

                
                    
                    
                
            ",6.48,3,750,47,85.82,28.1,41.4,23.3
